DEMONSTRAÇÃO DE RESULTADO DO EXERCÍCIO
Construtora Horizonte Ltda — CNPJ 12.345.678/0001-99
Exercício: Janeiro a Dezembro de 2025

DESCRIÇÃO;VALOR (R$);% RECEITA BRUTA

RECEITA OPERACIONAL BRUTA
Receita de obras e serviços de construção civil;6.200.000;100%

DEDUÇÕES DA RECEITA BRUTA
ISS sobre serviços;-186.000;-3%
PIS sobre faturamento;-40.300;-0,65%
COFINS sobre faturamento;-186.000;-3%
TOTAL DEDUÇÕES;-412.300;-6,65%

RECEITA OPERACIONAL LÍQUIDA;5.787.700;93,35%

CUSTOS DOS SERVIÇOS PRESTADOS
Materiais de construção;-2.232.000;-36%
Mão de obra direta CLT;-1.116.000;-18%
Subempreiteiros;-558.000;-9%
Equipamentos e locações;-310.000;-5%
TOTAL CUSTOS;-4.216.000;-68%

LUCRO BRUTO;1.571.700;25,35%

DESPESAS OPERACIONAIS
Despesas administrativas;-420.000;-6,8%
Salários e encargos administrativo;-312.000;-5%
Despesas comerciais;-124.000;-2%
Despesas financeiras juros e IOF;-248.000;-4%
Depreciação de equipamentos;-186.000;-3%
TOTAL DESPESAS OPERACIONAIS;-1.290.000;-20,8%

RESULTADO ANTES DO IR/CSLL;281.700;4,54%

IMPOSTOS SOBRE O LUCRO (Lucro Presumido)
Base de cálculo presumida 8% da receita bruta;496.000;
IRPJ 15% mais adicional 10% sobre excedente;-99.200;-1,6%
CSLL 12% sobre base presumida 32%;-23.808;-0,38%
TOTAL IR/CSLL;-123.008;-1,98%

LUCRO LÍQUIDO DO EXERCÍCIO;158.692;2,56%

INFORMAÇÕES COMPLEMENTARES
Número de funcionários CLT;42;
Folha de pagamento mensal média;186.000;
Obras em andamento dezembro 2025;3 contratos ativos;
Maior contrato individual;2.100.000;
